,Team,,Top25,Home,OT,Opponent,Date,,FGM,FGA,,3M,3A,,FTM,FTA,,SM,Clutch SM,REB,OPPReb,Off REB,Opp Off Reb,Turn,OppTurn,steal,Win,ComeFromBehindWins,BlownLeadClutchLoss,Away,Neutral,Top 25,Overtime,Opp Historical Value,Opp Historical Value 1-100,Opp Historical Value 101-200,Opp Historical Value 300+,Opp Current Value,SOS of Game,% of points in clutch,Opp % of points in clutch,"Had Lead, but Lost",Came back from deficit and won,Perfect Fg,Perfect 3Fg,Perfect Ft,Free throws lost game,Made a 10+ marg into clutch game ,20% of scoring came during clut,"Clutch Shot differential? Move Value to part of SOS, average clutch last year?, percentage of clutch points from 3 and ft, opp 2 fg and 3fg",Clutch Value
Team:,,,,,,,,,Sum:,Sum:,,Sum:,Sum:,,Sum:,Sum:,,,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Sum:,Sum:,,Sum:,Sum:,Sum:,,,,,,,,,,,,,,,,,,Sum:
Buffalo,,,,,,,,,3,7,,1,3,,0,0,,,-3,3,6,1,3,2,3,0,1,0,0,,0,0,0,,,,,,,,,,,,,,,,,,-0.7541
,Buffalo,,0,AWAY,0,Old Dominion,"Nov 4, 2024",,3,7,0.428571428571429,1,3,0.333333333333333,0,0,0,1,-3,3,6,1,3,2,3,0,1,0,0,1,0,0,0,14.997,,,,,,0.0843373493975904,0.121951219512195,0,0,0,0,0,0,0,0,,-0.7541
Butler,,,,,,,,,4,8,,1,4,,2,3,,,1,6,3,2,1,2,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,3.2503
,Butler,,0,HOME,0,Austin Peay,"Nov 8, 2024",,4,8,0.5,1,4,0.25,2,3,0.666666666666667,-2,1,6,3,2,1,2,0,0,0,0,0,0,0,0,0,19.648,,,,,,0.166666666666667,0.147058823529412,0,0,0,0,0,0,0,0,,3.2503
BYU,,,,,,,,,3,6,,0,3,,5,8,,,-5,3,5,1,0,2,2,2,1,0,0,,0,0,0,,,,,,,,,,,,,,,,,,2.978
,BYU,,0,HOME,0,UC Riverside,"Nov 8, 2024",,3,6,0.5,0,3,0,5,8,0.625,6,-5,3,5,1,0,2,2,2,1,0,0,0,0,0,0,14.517,,,,,,0.127906976744186,0.2,0,0,0,0,0,0,0,0,,2.978
Cal Baptist,,,,,,,,,4,13,,0,3,,6,6,,,-1.5,4,6.5,0.5,2.5,0.5,1,0,0.5,0,0,,0,0,0,,,,,,,,,,,,,,,,,,6.253
,Cal Baptist,,0,HOME,0,Kennesaw St.,"Nov 9, 2024",,3,8,0.375,0,1,0,2,2,1,4,-2,4,8,1,4,0,1,0,1,0,0,0,0,0,0,23.359,,,,,,0.0909090909090909,0.119047619047619,0,0,0,0,0,0,0,0,,2.066
,Cal Baptist,,0,HOME,0,UC Riverside,"Nov 12, 2024",,1,5,0.2,0,2,0,4,4,1,-1,-1,4,5,0,1,1,1,0,0,0,0,0,0,0,0,14.517,,,,,,0.0869565217391304,0.0714285714285714,0,0,0,0,1,0,0,0,,4.187
Cal Poly,,,,,,,,,8,19,,1,8,,5,7,,,3,7.5,5.5,2,1.5,3,3,1.5,0.5,1,0,,0,0,0,,,,,,,,,,,,,,,,,,13.6989
,Cal Poly,,0,HOME,0,Seattle,"Nov 14, 2024",,3,7,0.428571428571429,0,2,0,4,5,0.8,4,5,9,4,2,1,3,3,1,1,1,0,0,0,0,0,23.387,,,,,,0.133333333333333,0.0704225352112676,0,1,0,0,0,0,0,0,,8.6616
,Cal Poly,,0,AWAY,0,San Francisco,"Nov 5, 2024",,5,12,0.416666666666667,1,6,0.166666666666667,1,2,0.5,-8,1,6,7,2,2,3,3,2,0,0,0,1,0,0,0,30.37,,,,,,0.153846153846154,0.127906976744186,0,0,0,0,0,0,0,0,,5.0373
Cal St. Bakersfield,,,,,,,,,7,8,,3,4,,1,3,,,8,3,3,0,1,0,1,1,1,1,0,,0,0,0,,,,,,,,,,,,,,,,,,12.1007
,Cal St. Bakersfield,,0,HOME,0,North Dakota St.,"Nov 11, 2024",,7,8,0.875,3,4,0.75,1,3,0.333333333333333,5,8,3,3,0,1,0,1,1,1,1,0,0,0,0,0,18.69,,,,,,0.209302325581395,0.123456790123457,0,1,0,0,0,0,0,1,,12.1007
Cal St. Fullerton,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Cal St. Fullerton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal St. Northridge,,,,,,,,,3,4,,1,2,,8,10,,,10,5,5,1,3,0,3,1,1,1,0,,0,0,0,,,,,,,,,,,,,,,,,,11.54
,Cal St. Northridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
