,,,,,-0.0143214,-0.8651815,2.232438,0.7017919,-5.222409,1.657324,1779.948,519.7707,-31.66588,1006.611,-4806.844,402.5341,-1946.194,-6.12827,-1.108895,929.5971,-22.36771,75.8617,13.85521,-181.5876,1065.952,-153.3246,13.11626,17.18644,329.7633,723.3885,-654.5281,-18.08019,-0.2245623,0.3791122,3.989411,19.93224,-75.99378,56.93902,24.58319,-100.6839,244.5489,-136.7003,-5.022856,1.282506,321.3072,861.5658,,
,Coach Name,Conference,Tournament team,,Coach Value,SOS Median,SOS Min,SOS Max,SOS STDEV,Expected Value,FG%,% of Points from 3,Fouls Per Game,Free Throw %,Opp Shooting %,Opp Three Point %,Opp % of Points from 3,Opp Turnovers Per Game,Rebounds Per Game,Rebound Percent,Scoring Margin,Turnover Margin,Rebound Margin,Offensive Eff,Defensive Eff,A/T Ratio,PPG,Off Rebounds Per Game,Assists Per FGM,Opp Assists Per FGM,Opp Turnover Per Off Play,Steals Per Game,Clutch FG,Clutch 3FG,Clutch FT,SM,REB,OPPReb,Oreb,OpOreb,Turn,OppTurn,Top 25,Overtime,Steal:Turnover Ratio,,,Value
Oklahoma St.,Mike Jones,Sun Belt,NO,,8.885552774,-16.896186489824,-25.74993990907,-7.230364055326,9.26275483452082,,,,,,,,,,,,,,,,,,,,,,,,14.2857142857143,0,71.4285714285714,-9,4,8,1,2,0,2,0,0,0,1,,
Pittsburgh,Shantay Legans,WCC,NO,,20.0515963347714,34.7110068312066,-0.512869987526384,62.4050997966516,32.460487579786,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Northern Kentucky,Chris Collins,Big Ten,NO,,67.6966248639394,-1.78057079155277,-23.4704925601066,30.1845055330592,26.9909788359675,,,,,,,,,,,,,,,,,,,,,,,,14.2857142857143,0,50,-7,5,7,2,2,1,1,0,0,1,1,,
BYU,Kevin Young,Big 12,NO,,62.002652896,-11.41412485104,-32.2642110365956,32.3763392867378,30.1296408623019,,,,,,,,,,,,,,,,,,,,,,,,50,0,62.5,-5,3,5,1,0,2,2,0,0,1,1,,
North Carolina,Monté Ross,CAA,NO,,-1.2351827028,29.7010033805831,-25.9135326194169,70.3160711469229,48.3092416713863,,,,,,,,,,,,,,,,,,,,,,,,42.8571428571429,0,50,-4,4,4,0,1,2,0,1,0,0,1,,
Drake,Ben McCullum,Missouri Valley,NO,,51.7416228,9.143438363,-13.360683782,31.647560508,31.8256347467597,,,,,,,,,,,,,,,,,,,,,,,,25,50,83.3333333333333,2,4,3,0,0,1,1,0,0,0,1,,
UNLV,Eric Musselman,Big Ten,NO,,94.4602673072,-3.201349140404,-15.7370604565378,-0.99806874424,7.95022409957469,,,,,,,,,,,,,,,,,,,,,,,,38.4615384615385,33.3333333333333,94.1176470588235,3,5.5,2.5,2,0.5,0.5,0.5,0,0,1,1,,
SMU,Richie Riley,Sun Belt,NO,,27.5638335823556,-5.27490295638058,-30.4725520629786,-3.56427028331369,15.0659849383484,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Nebraska,Fred Hoiberg,Big Ten,NO,,61.7168378059959,-9.170775622198,-42.616895032602,13.463658309932,23.3254489509087,,,,,,,,,,,,,,,,,,,,,,,,37.5,0,81.25,0,4.5,6,1,4,1,1.5,0,0,0.5,1,,
San Francisco,Tim Miles,Mountain West,NO,,-8.35419263759048,50.3533664083803,-25.3012178529547,59.1882666132313,39.7144402352308,,,,,,,,,,,,,,,,,,,,,,,,16.6666666666667,0,81.8181818181818,-1,7,6,2,2,3,3,0,0,0.666666666666667,1,,
Florida St.,Leonard Hamilton,ACC,NO,,57.1025986327728,3.55234382045415,-4.24516671543027,8.43024204160173,5.36640599843893,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Georgia,Mike White,SEC,NO,,59.9527433315692,15.6116049352337,-35.9009981986703,30.1156018462686,30.6343014487802,,,,,,,,,,,,,,,,,,,,,,,,16.6666666666667,0,70,-4,3,4,1,0,1,3,0,0,3,1,,
San Diego,Brian Dutcher,Mountain West,NO,,125.86947056659,-8.93066767446272,-16.3815468197594,37.3184090698753,25.1879267009947,,,,,,,,,,,,,,,,,,,,,,,,35.7142857142857,20,63.6363636363636,-2,4.33333333333333,6.66666666666667,1.33333333333333,1.33333333333333,2.66666666666667,4,0,0,0.749999999999999,1,,
Louisiana,Bob Marlin,Sun Belt,NO,,53.0409055252217,-13.4399512711748,-25.0341400300218,-1.84576251232778,16.3966589874751,,,,,,,,,,,,,,,,,,,,,,,,33.3333333333333,50,60,-5,4,5,1,0,0,1,0,0,0,1,,
Seton Hall,Gerry McNamara,MAAC,NO,,53.67275525,-9.62113552037932,-25.5558643810873,22.50149409421,20.3403230721516,,,,,,,,,,,,,,,,,,,,,,,,33.3333333333333,75,52.6315789473684,1,4.66666666666667,4.66666666666667,1.66666666666667,0.666666666666667,1.66666666666667,2,0,0,0.399999999999999,1,,
Eastern Washington,Dan Monsoon,Big Sky,NO,,43.3795780187524,57.2936064412149,-31.8965995587851,61.5354047212149,52.761136459122,,,,,,,,,,,,,,,,,,,,,,,,58.3333333333333,33.3333333333333,80,-3,2.5,4,0,1.5,0.5,1,0,0,2,1,,
Yale,Ethan Faulkner,Horizon,NO,,13.0220187732667,31.0893478774733,-34.7141980184993,54.8532176872487,41.8016700810906,,,,,,,,,,,,,,,,,,,,,,,,42.8571428571429,75,0,-2,4,6,2,4,3,0,0,0,0,1,,
Virginia Tech,Andrew Wilson,Southern,NO,,19.8488631441333,-18.5633818132989,-48.2410442158789,14.7718518162188,32.3405270520646,,,,,,,,,,,,,,,,,,,,,,,,50,66.6666666666667,50,-1,4,8,1,3,1,1,0,0,0,1,,
Ohio St.,Porter Moser,SEC,NO,,55.3597218618571,45.86130883188,1.43698457989956,54.963043950946,28.6397195028615,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Oakland,Jeff Boals,MAC,NO,,38.5299595428889,50.5306515552721,-40.3754655176808,58.2531921840772,54.8500560241214,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Ohio,Jake Diebler,Big Ten,NO,,59.8594799486,-7.70435663428611,-13.1407335571971,1.20245368499489,5.94679524717733,,,,,,,,,,,,,,,,,,,,,,,,40,0,78.5714285714286,4,6,6,1,3,1,3,0,0,1,1,,
Richmond,Kevin Baggett,MAAC,NO,,32.1676836148461,-15.8777384052538,-37.1892646645918,-13.6576782710758,12.9925964604034,,,,,,,,,,,,,,,,,,,,,,,,35.4838709677419,20,91.6666666666667,-1.5,9.5,8,3,1,2.5,3.5,0,1,1,1,,
Arizona St.,Bobby Hurley,Big 12,NO,,54.0769075817333,54.3377202902123,-23.38136543884,60.7051637002467,40.0353585095854,,,,,,,,,,,,,,,,,,,,,,,,40.9090909090909,16.6666666666667,80,0.333333333333333,6.33333333333333,5,1.66666666666667,1.33333333333333,1.33333333333333,1,0,0,0.25,1,,
LSU,Matt McMahon,SEC,NO,,61.7139136276476,28.8530920493225,-31.4644745897735,69.2320734273725,50.6762037596873,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
James Madison,Preston Spradlin,Sun Belt,NO,,46.0629459047429,7.58953599025742,-23.7903990684186,14.0240179432254,20.2321238637153,,,,,,,,,,,,,,,,,,,,,,,,57.1428571428571,25,75,-2,5,2,2,1,3,1,0,0,0.333333333333333,1,,
Toledo,Pat Skerry,CAA,NO,,39.5682520696,15.5408514602486,-5.691008534848,62.175955330974,28.6741435614166,,,,,,,,,,,,,,,,,,,,,,,,80,50,66.6666666666667,1,3,3,0,1,3,2,0,0,0.333333333333333,1,,
