,,,,,,,,,,,,,,,0.021701,,30.308242,,,-0.047141,0.027940,-0.053836,9.196241,-0.990671,0.030760,,,,-11.605601,5.686516,0.025252,-0.113503,-1.425271,7.313026,-0.717301,0.493466,-9.123210,11.324218,0.015623,-2.312359,,,,,,,,,,,,-3.518034,-1.139866,0.204473,0.901212,-0.618228,0.301871,2.440042,4.580603,-0.893053,1.083057,2.572807,10.681670,,0.071559,0.257572,,2.928180,,,10.945312,,,1.652777,-0.739109,0.013070,-1.188753,2.862905,,-1.475295,0.032056,-0.051241,7.551391,9.686542,,-1.075813,0.544312,0.345482,2.919113,-1.531943,1.941341,4.871920,0.908134,1.963017,0.192827,-1.218645,-1.089363,,,,8.528654,,,0.076186,0.846192,-0.113265,,,,,,,,,2.850362,,,
,Coach Name,Conference,MM Team,AQ,First YR coach at prog,Top 12 week 6,cmplt coach for 2026,,Wins Prior to Season,Losses Prior to Season,Wins at School,Losses at School,Season Wins,Season Losses,Wins total,Losses total,Win %,Record at School,Sub .500 5+ years at school,Number of seasons coached (including current season),Number of Consecutive Seasons at Current School (INC Current),Number of Power Coaching Seasons (including season),March appearances entering season,POWER SCHOOL March appearances entering season,Number of seasons coached squared max 10,Coached During Covid,"Number of Seasons missing march, but did not start season coaching",Power %,Sub 500 with more than 5 seasons coaching,Reaching March Percentage,March Appearances Squared Max 10,Years without reaching March,Reaching March Percentage as Power Coach (Blue means coached covid while power),First March Apperance,Years before First March Appearance,March wins,March losses,March win %,March wins squared max 10,Mid major,Sec,Big 12,Big Ten,Big East,PAC 12,ACC,Sweet 16 Games,Elite 8 Games,Final 4 Games,Champion games,Champion wins,Seasons between March appearances,Number of Tournaments since March win,Consecutive March Appearances (Prior to season),Largest Consecutive March Appearance Streak,Number of seasons top 3 in mid major conference and missed tournament (top 2 in division),AQ Prior to Season,Power AQ prior to Season,Percent of Mid Major seasons either top 3 and or march madness,Percent of AQ March Appearances ,Percent of AQ March Appearances as Power Coach,Perfect AQ%,Perfect AQ Power Conference,Winning seasons entering season,Consecutive 20+win seasons entering season,20+ win seasons,25+ win seasons,30+ win seasons,Winning Season Total,20 Season for Champ Contender,"% of winning  seasons (not including 500, 10+ games seasons)",Winning Season,Losing Season,Consecutive Winning Seasons Prior to Season,Consecutive Losing Seasons Prior to Season,Largest Win Streak,Largest win streak sub 4 with 10+ seasons,Consecutive Winning Seasons,,Consecutive Losing Seasons ,Consecutive Winning Seasons Squared,Consecutive Losing Seasons Squared,White,Coaches Son,Violations/Legal Trouble Indicator,Former player,Former P5 Player,Former D1 Guard,Former D1 Forward (NOT CENTER),Former NBA Player,Overseas/non NBA professional Player,Former NBA Coach,Overseas/non NBA professional Coach (Not college level),Former power assistant,Former mid major assistant,Both POWER AND MID,"NO Power, Mid, NBA, Other professional (AKA only D2/D3/JUCO/HS)",Increased win percentage in current season,Win Percentage,Previous Season Win Percentage,Change in record for first year coach at program,Previous year record as a coach,Consecutive seasons improving record prior to season,Consecutive seasons improving record Including season,Coaches change of record,Years since Last Head Coach Job,Previous Year Coaching Value,Run of improving/weakening coaching record prior to season (next column to simplify next season),Coaching Trend,School Has been Upset 2+ times in previous 5 years,Winless March over past 5 years for School,Championship Criteria,AP + UPSET + MM Year Prior INDY,5 Year coach gap,Started Season as Head Coach,NOTES***,,Score
Loyola Chicago,Drew Valentine,A10,FALSE,FALSE,FALSE,FALSE,TRUE,,58,39,58,39,4,0,62,39,0.6139,0.6139,0,4,4,0,1,0,16,1,0,0,0,0.333333333333333,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0.5,1,0,1,0,2,2,1,1,0,3,1,0.75,1,0,1,0,1,0,2,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0.697,0,0.697,1,0,-0.697,0,,,1,0,0,-5,0,0,1,,,38.7379397731333
Loyola Marymount,Stan Johnson,WCC,FALSE,FALSE,FALSE,FALSE,TRUE,,55,58,55,58,1,2,56,60,0.4828,0.4828,1,5,5,0,0,0,25,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0,0,2,0,0,0,0,2,0,0.4,0,1,0,1,1,0,0,2,2,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.333333333333333,0.387,0,0.387,0,0,-0.387,0,,,1,0,1,-13,0,2,1,,,16.8198923336
Loyola MD,Josh Loeffler,Patriot,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,2,2,2,2,0.5,0.5,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.5,0.219,0.281,1,0,0,0,0,,,0,0,1,-21,0,0,1,,,26.518723774
LSU,Matt McMahon,SEC,FALSE,FALSE,FALSE,FALSE,TRUE,,185,102,31,35,3,0,188,102,0.6483,0.4928,0,10,3,3,3,0,100,1,0,0.3,0,0.333333333333333,9,0,0,0,0,2,3,0.4,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,3,0,0.714285714285714,1,0,1,0,6,0,4,3,1,7,4,0.7,1,0,1,0,3,1,2,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0.515,0,0.515,1,0,-0.515,0,,,1,0,0,3,0,0,1,,,61.7139136276476
Maine,Chris Markwood,American East,FALSE,FALSE,FALSE,FALSE,TRUE,,28,34,28,34,2,2,30,36,0.4545,0.4545,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.5,0.469,0,0.469,1,0,-0.469,0,,,1,0,1,-13,0,0,1,,,13.718954941
Manhattan,John Gallagher,MAAC,FALSE,FALSE,FALSE,FALSE,TRUE,,176,230,7,23,2,2,178,232,0.4341,0.2647,0,14,1,0,1,0,100,1,0,0,1,0.0769230769230769,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,0.285714285714286,1,0,1,0,6,0,0,0,0,6,0,0.428571428571429,0,0,0,2,4,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0.5,0.233,0,0.233,0,0,-0.233,0,,,1,0,1,-13,0,0,1,,,13.869743138178
Marist,John Dunne,MAAC,FALSE,FALSE,FALSE,FALSE,TRUE,,229,325,76,100,2,1,231,326,0.4147,0.4358,1,19,7,0,1,0,100,1,0,0,1,0.0555555555555556,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,3,1,0,0.210526315789474,1,0,1,0,5,0,2,0,0,6,2,0.315789473684211,1,0,1,0,2,1,2,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.666666666666667,0.581,0,0.581,1,0,-0.581,0,,,-1,0,1,-10,0,160,1,,,-17.2007932495708
Marquette,Shaka Smart,Big East,FALSE,FALSE,FALSE,FALSE,TRUE,,346,172,75,30,4,0,350,172,0.6705,0.7248,0,16,4,10,11,6,100,1,0,0.625,0,0.733333333333333,100,0,0.666666666666667,0,0,9,11,0.45,81,0,0,0,0,1,0,0,2,1,1,0,0,0,0,4,6,0,4,2,0.833333333333333,0.363636363636364,0.333333333333333,0,0,15,0,10,8,0,16,10,1,1,0,7,0,7,0,8,0,0,64,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0.73,0,0.73,0,0,-0.73,0,,,1,1,0,38,0,0,1,,,109.616157888879
Marshall,Cornelius Jackson,Sun Belt,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,3,1,3,1,0.75,0.75,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.75,0.394,0.356,1,0,0,0,0,,,0,0,1,-18,0,0,1,,,40.859997324
Maryland,Kevin Willard,Big Ten,FALSE,FALSE,FALSE,FALSE,TRUE,,308,240,38,30,3,1,311,241,0.5634,0.5694,0,17,3,14,6,6,100,1,0,0.823529411764706,0,0.375,36,0,0.461538461538462,0,0,2,6,0.25,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,1,1,1,0.333333333333333,0.166666666666667,0.166666666666667,0,0,10,0,9,1,0,11,9,0.647058823529412,1,0,0,1,9,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0.75,0.485,0,0.485,0,0,-0.485,0,,,1,0,0,6,0,0,1,,,67.957464744067
Maryland Eastern Shore,Cleo Hill Jr,MEAC,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,1,4,1,4,0.2,0.2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.2,0.31,-0.11,1,0,0,0,0,,,0,0,1,-21,0,0,1,,,5.28740646
Massachusetts,Frank Martin,A10,FALSE,FALSE,FALSE,FALSE,TRUE,,323,228,35,27,1,3,324,231,0.5838,0.5455,0,17,3,15,5,5,100,1,0,0.882352941176471,0,0.3125,25,0,0.357142857142857,0,0,10,5,0.666666666666667,100,1,0,0,0,0,0,0,2,2,1,0,0,6,0,0,3,0,0,0,0,0,0,0,0,12,1,8,3,0,12,8,0.705882352941176,0,1,1,0,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.25,0.645,0,0.645,1,0,-0.645,0,,,1,0,1,9,0,0,1,,,37.7595679873591
McNeese St.,Will Wade,Southland,FALSE,FALSE,FALSE,FALSE,TRUE,,218,98,22,2,1,2,219,100,0.6865,0.8519,0,11,2,5,6,3,100,1,0,0.454545454545455,0,0.6,36,0,0.6,0,0,4,6,0.4,16,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,4,4,0,0,1.16666666666667,0,0,0,0,10,7,2,3,0,10,2,0.909090909090909,0,1,10,0,10,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0.333333333333333,0.882,0,0.882,2,0,-0.882,0,,,1,0,1,8,0,0,1,,,76.121312458697
Memphis,Penny Hardaway,American,FALSE,FALSE,FALSE,FALSE,TRUE,,133,62,133,62,3,0,136,62,0.6869,0.6869,0,6,6,0,2,0,36,1,0,0,0,0.4,4,0,0,0,0,1,2,0.333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0.5,0,0,0,0,6,6,6,1,0,7,6,1.16666666666667,1,0,6,0,6,0,7,0,0,49,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0.688,0,0.688,0,0,-0.688,0,,,1,0,0,1,0,4,1,,,74.4788532338
Mercer,Ryan Ridder,Southern,FALSE,FALSE,TRUE,FALSE,TRUE,,96,92,0,0,2,2,98,94,0.5104,0.5,0,7,1,0,0,0,49,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.428571428571429,0,0,0,0,4,1,1,0,0,4,1,0.571428571428571,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.485,0.015,0.656,2,0,-0.656,0,,,1,0,1,-13,0,0,1,,,34.8096531462286
Mercyhurst,Gary Manchel,NEC,FALSE,FALSE,FALSE,FALSE,TRUE,,0,0,0,0,3,2,3,2,0.6,0.6,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6,0,0,1,0,0,0,0,,,0,0,1,-13,0,0,1,,,40.2705982
Merrimack,Joe Gallo,NEC,FALSE,FALSE,FALSE,FALSE,TRUE,,82,64,82,64,1,2,83,66,0.557,0.557,0,6,6,0,0,0,36,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,0,0,0,0,3,2,1,0,0,3,1,0.5,0,1,2,0,2,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.333333333333333,0.636,0,0.636,2,0,-0.636,0,,,1,0,1,-5,0,66,1,,,33.776361182
Miami FL,Jim Larrañaga,ACC,FALSE,FALSE,FALSE,FALSE,TRUE,,741,499,270,166,3,0,744,499,0.5986,0.6219,0,39,14,14,11,6,100,1,0,0.358974358974359,0,0.289473684210526,100,0,0.461538461538462,0,0,16,11,0.592592592592593,100,0,0,0,0,0,0,1,5,3,2,0,0,1,0,0,3,7,4,1,0.48,0.363636363636364,0.166666666666667,0,0,29,0,14,7,0,30,14,0.769230769230769,1,0,0,1,20,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0.469,0,0.469,0,0,-0.469,0,,,1,0,0,8,0,-7,1,,,75.4629968329066
Miami OH,Travis Steele,MAC,FALSE,FALSE,FALSE,FALSE,TRUE,,97,87,27,37,2,1,99,88,0.5294,0.4328,0,7,3,4,0,0,49,1,0,0.571428571428571,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0.714285714285714,1,0,0,2,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.666666666666667,0.469,0,0.469,1,0,-0.469,0,,,1,0,1,-10,0,0,1,,,37.3874402668
Michigan,Dusty May,Big Ten,FALSE,FALSE,TRUE,FALSE,TRUE,,126,69,0,0,2,1,128,70,0.6465,0.6667,0,7,1,1,2,0,49,1,0,0.142857142857143,0,0.333333333333333,4,0,0,0,0,4,2,0.666666666666667,16,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,2,1,1,0,0.5,0.5,0,0,0,6,0,2,2,1,7,2,1,1,0,6,0,6,0,7,0,0,49,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.666666666666667,0.25,0.416666666666667,0.735,0,0,-0.735,0,,,1,1,0,18,0,0,1,,,99.4434411663333
Michigan St.,Tom Izzo,Big Ten,FALSE,FALSE,FALSE,FALSE,TRUE,,707,295,707,295,3,1,710,296,0.7058,0.7058,0,30,30,30,26,26,100,1,0,1,0,0.896551724137931,100,0,0.896551724137931,0,0,56,25,0.691358024691358,100,0,0,0,1,0,0,0,5,2,6,1,1,0,0,26,26,0,6,6,0,0.230769230769231,0.230769230769231,0,0,28,23,3,14,5,29,3,0.966666666666667,1,0,28,0,28,0,29,0,0,841,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0.75,0.571,0,0.571,0,0,-0.571,0,,,1,0,0,17,0,-4,1,,,306.518069454568
Middle Tennessee,Nick McDevitt,CUSA,FALSE,FALSE,FALSE,FALSE,TRUE,,181,172,71,100,3,1,184,173,0.5154,0.4229,1,12,7,0,1,0,100,1,0,0,0,0.0909090909090909,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,4,1,0,0.416666666666667,1,0,1,0,6,4,0,1,0,7,0,0.583333333333333,1,0,0,1,3,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.75,0.424,0,0.424,0,0,-0.424,0,,,1,0,1,-2,0,132,1,,,11.9796314354667
Milwaukee,Bart Lundy,Horizon,FALSE,FALSE,FALSE,FALSE,TRUE,,138,114,42,27,1,2,139,116,0.5451,0.5972,0,9,3,0,0,0,81,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.444444444444444,0,0,0,0,6,2,3,0,0,6,3,0.666666666666667,0,1,2,0,3,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.333333333333333,0.571,0,0.571,0,0,-0.571,0,,,1,0,1,-2,0,0,1,,,36.9841263044222
Minnesota,Ben Johnson,Big Ten,FALSE,FALSE,FALSE,FALSE,TRUE,,41,54,41,54,3,1,44,55,0.4444,0.4444,0,4,4,4,0,0,16,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.5,1,0,1,0,1,0,2,0,0,4,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.75,0.559,0,0.559,1,0,-0.559,0,,,1,0,0,-9,0,0,1,,,30.2908844168
Mississippi,Chris Beard,SEC,FALSE,FALSE,FALSE,FALSE,TRUE,,191,85,20,12,4,0,195,85,0.6964,0.6667,0,10,2,9,6,4,100,1,0,0.9,0,0.666666666666667,36,0,0.5,0,0,11,5,0.6875,100,0,1,0,0,0,0,0,2,2,1,1,0,1,0,0,4,0,1,0,2,0.166666666666667,0,0,0,9,5,2,3,2,10,2,1,1,0,9,0,9,0,10,0,0,100,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0.625,0,0.625,0,0,-0.625,0,,,1,0,1,4,0,0,1,,,136.5893006038
Mississippi St.,Chris Jans,SEC,FALSE,FALSE,FALSE,FALSE,TRUE,,185,71,42,27,4,0,189,71,0.7269,0.6301,0,9,3,3,5,2,81,1,0,0.333333333333333,0,0.625,25,0,0.666666666666667,0,0,1,5,0.166666666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,0,1,0.6,0,0,0,8,3,7,5,1,9,7,1,1,0,8,0,8,0,9,0,0,81,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0.6,0,0.6,0,0,-0.6,0,,,1,1,1,41,0,0,1,,,102.8623216098
Mississippi Valley St.,George Ivory,SWAC,FALSE,FALSE,FALSE,FALSE,TRUE,,146,326,6,57,1,3,147,329,0.3088,0.1045,0,16,3,0,1,0,100,1,0,0,1,0.0666666666666667,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,3,1,0,0.25,1,0,1,0,2,0,0,0,0,2,0,0.125,0,1,0,10,1,1,0,11,11,0,121,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.25,0.032,0,0.032,0,0,-0.032,0,,,-1,0,1,-10,0,0,1,,,-69.3881531977333
Missouri,Dennis Gates,SEC,FALSE,FALSE,FALSE,FALSE,TRUE,,83,74,33,34,3,1,86,75,0.5342,0.507,0,6,3,3,2,1,36,1,0,0.5,0,0.4,4,0,0.333333333333333,0,0,1,2,0.333333333333333,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0.666666666666667,0.5,0,0,0,3,2,0,1,0,4,0,0.666666666666667,1,0,0,1,3,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.75,0.25,0,0.25,0,0,-0.25,0,,,1,0,0,-1,0,0,1,,,36.8425967764
Missouri St.,Cuonzo Martin,Missouri Valley,FALSE,FALSE,TRUE,FALSE,TRUE,,264,198,0,0,2,1,266,199,0.572,0.6667,0,15,1,11,4,4,100,1,0,0.733333333333333,0,0.285714285714286,16,0,0.363636363636364,0,0,2,4,0.333333333333333,4,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0.25,0,0,0,0,10,7,0,1,0,11,0,0.733333333333333,1,0,0,1,9,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0.666666666666667,0.515,0.151666666666667,0.364,0,0,-0.364,0,,,1,0,1,-7,0,0,1,,,36.5788407695065
Monmouth,King Rice,CAA,FALSE,FALSE,FALSE,FALSE,TRUE,,207,208,207,208,0,4,207,212,0.494,0.494,1,14,14,0,0,0,100,1,0,0,1,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.357142857142857,0,0,0,0,6,3,0,2,0,6,0,0.428571428571429,0,1,1,0,3,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0.545,0,0.545,1,0,-0.545,0,,,1,0,1,-5,0,102,1,,,12.3319425508571
Montana,Travis DeCuire,Big Sky,FALSE,FALSE,FALSE,FALSE,TRUE,,201,147,201,147,2,2,203,149,0.5767,0.5767,0,11,11,0,2,0,100,1,0,0,0,0.2,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,4,2,0,0.545454545454545,1,0,1,0,9,5,1,2,0,9,1,0.818181818181818,0,0,7,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0.5,0.667,0,0.667,1,0,-0.667,0,,,1,0,1,-2,0,69,1,,,34.0665892974
Montana St.,Matt Logie,Big Sky,FALSE,FALSE,FALSE,FALSE,TRUE,,17,18,17,18,1,3,18,21,0.4615,0.4615,0,2,2,0,1,0,4,0,0,0,0,0.5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.25,0.486,0,0.486,0,0,-0.486,0,,,1,0,1,-6,0,0,1,,,24.046014871
Morehead St.,Jonathan Mattox,Ohio Valley,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,1,3,1,3,0.25,0.25,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.743,-0.493,1,0,0,0,0,,,0,0,1,-21,0,0,1,,,1.420672078
Morgan St.,Kevin Broadus,MEAC,FALSE,FALSE,FALSE,FALSE,TRUE,,105,100,68,75,3,2,108,102,0.5143,0.4797,1,8,6,0,1,0,64,1,0,0,0,0.142857142857143,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0.125,1,0,1,0,2,1,0,0,0,3,0,0.375,1,0,0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.6,0.355,0,0.355,0,0,-0.355,0,,,1,0,1,-2,0,17,1,,,11.4320195041714
Mount St. Mary's,Donny Lind,MAAC,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,3,1,3,1,0.75,0.75,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.75,0.406,0.344,1,0,0,0,0,,,0,0,1,-18,0,0,1,,,47.750691476
Murray St.,Steve Prohm,Missouri Valley,FALSE,FALSE,FALSE,FALSE,TRUE,,230,159,29,35,2,1,232,160,0.5918,0.4627,0,13,3,6,4,3,100,1,0,0.461538461538462,0,0.333333333333333,16,0,0.6,0,0,4,4,0.5,16,1,0,0,0,0,0,0,1,0,0,0,0,4,1,0,2,3,3,2,0.571428571428571,0.75,0.666666666666667,0,0,8,0,7,2,1,9,7,0.692307692307692,1,0,0,1,6,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.666666666666667,0.375,0,0.375,0,0,-0.375,0,,,1,0,0,2,0,0,1,,,46.4686837198124
N.C. State,Kevin Keatts,ACC,FALSE,FALSE,FALSE,FALSE,TRUE,,211,122,139,94,3,0,214,122,0.6369,0.6017,0,11,8,8,5,3,100,1,0,0.727272727272727,0,0.5,25,0,0.428571428571429,0,0,4,5,0.444444444444444,16,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,3,1,2,1,1,0.4,0.333333333333333,0,0,9,2,7,3,0,10,7,0.909090909090909,1,0,2,0,7,0,3,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0.634,0,0.634,0,0,-0.634,0,,,1,0,0,23,0,48,1,,,70.27977138737
Navy,Ed DeChellis,Patriot,FALSE,FALSE,FALSE,FALSE,TRUE,,400,442,181,211,1,3,401,445,0.474,0.4596,1,29,14,8,2,1,100,1,0,0.275862068965517,1,0.0714285714285714,4,0,0.125,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,5,1,0,0.285714285714286,0.5,0,0,0,11,0,4,1,0,11,4,0.379310344827586,0,1,0,1,3,1,0,2,2,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.419,0,0.419,0,0,-0.419,0,,,-1,0,1,-4,0,154,1,,,-24.3082636174631
Nebraska,Fred Hoiberg,Big Ten,FALSE,FALSE,FALSE,FALSE,TRUE,,178,150,63,94,3,1,181,151,0.5452,0.4099,1,11,6,11,5,5,100,1,0,1,0,0.5,25,0,0.5,0,0,4,5,0.444444444444444,16,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,4,0,2,2,0,0.4,0.4,0,0,5,0,5,2,0,6,5,0.545454545454545,1,0,1,0,4,1,2,0,0,4,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0.75,0.676,0,0.676,3,0,-0.676,0,,,1,0,1,16,0,-273,1,,,61.7168378059959
Nebraska Omaha,Chris Crutchfield,Summit,FALSE,FALSE,FALSE,FALSE,TRUE,,24,41,24,41,2,3,26,44,0.3714,0.3714,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3,0,9,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.4,0.455,0,0.455,1,0,-0.455,0,,,1,0,1,-13,0,0,1,,,5.3485347188
Nevada,Steve Alford,Mountain West,FALSE,FALSE,FALSE,FALSE,TRUE,,605,328,96,59,4,0,609,328,0.6499,0.6289,0,30,6,14,13,7,100,1,0,0.466666666666667,0,0.448275862068966,100,0,0.5,0,0,11,13,0.458333333333333,100,1,0,0,0,0,0,0,4,0,0,0,0,0,3,2,4,6,5,2,0.75,0.384615384615385,0.285714285714286,0,0,25,2,16,7,2,26,16,0.866666666666667,1,0,2,0,15,0,3,0,0,9,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0.765,0,0.765,2,0,-0.765,0,,,1,0,1,17,0,-64,1,,,97.5283787919349
