,,,SOS Median,SOS Min,SOS Max,SOS STDEV,SOS SUM
New Mexico St.,,,11.4068615041982,0.487446561173773,22.3262764472227,15.4423847056046,22.8137230083965
New Orleans,,,11.46882301838,-28.8137159765896,24.81830501838,20.70113165256,23.8795597069304
Niagara,,,-6.95550385144633,-9.62222462705133,-4.28878307584133,3.77131268792269,-13.9110077028927
Nicholls St.,,,21.3256261421184,-22.195630089172,49.566174055484,29.9518380733321,70.0217962505487
NJIT,,,-13.325147230489,-20.410939703812,23.653167345,20.0138572897937,-23.40806681979
Norfolk St.,,,16.9167669425407,0.050372541079333,58.085577147518,29.8536183387941,75.052716631138
North Alabama,,,25.857330678042,12.9465872785818,97.498336034298,45.5487269511666,136.302253990922
North Carolina,,,29.7010033805831,-25.9135326194169,70.3160711469229,48.3092416713863,74.1035419080891
North Carolina A&T,,,47.558028454068,36.18808531352,49.170117562858,7.07586978913577,132.916231330446
North Carolina Central,,,22.7060102006232,-12.4034283424403,40.7786023450257,19.0612774740408,110.788802387193
North Dakota,,,25.578817313285,5.10189834631,46.05573628026,28.9587365187109,51.15763462657
North Dakota St.,,,-4.02653438626127,-28.4017055468093,94.4655415253827,65.0527970057016,62.0373015923121
North Florida,,,82.9999808317099,29.7993526554537,127.243296563034,49.9124786450305,323.042610881907
North Texas,,,24.158916237262,6.986259863016,41.331572611508,24.2858035464315,48.317832474524
Northeastern,,,52.4909336673003,15.3551170379857,62.7134997410592,20.9569376760108,183.050484113645
Northern Arizona,,,10.0116954158627,-19.9245642899133,39.9479551216387,42.3362644826316,20.0233908317254
Northern Colorado,,,44.8904932876558,32.5394377621916,57.24154881312,17.4670302337346,89.7809865753116
Northern Illinois,,,23.8307187753987,2.822701991016,28.818277226062,13.7960286575076,55.4716979924767
Northern Iowa,,,17.6080869960741,-35.7032852548393,47.7701376874884,42.2683176285651,29.6749394287232
Northern Kentucky,,,-1.78057079155277,-23.4704925601066,30.1845055330592,26.9909788359675,4.93344218139983
Northwestern,,,2.67462253688139,-22.2496939156375,107.80129392816,53.1987979910921,120.619350133852
Northwestern St.,,,57.925689827714,37.787117060202,78.064262595226,28.4802427346529,115.851379655428
Notre Dame,,,0.09247664142,-29.21166304648,76.132001067378,54.372219387458,47.012814662318
Oakland,,,50.5306515552721,-40.3754655176808,58.2531921840772,54.8500560241214,68.4083782216685
Ohio,,,-7.70435663428611,-13.1407335571971,1.20245368499489,5.94679524717733,-27.3469931407744
Ohio St.,,,45.86130883188,1.43698457989956,54.963043950946,28.6397195028615,102.261337362726
Oklahoma,,,-25.815747812873,-29.2664134250114,1.11531794249457,16.6344972711031,-53.9668432953898
Oklahoma St.,,,-16.896186489824,-25.74993990907,-7.230364055326,9.26275483452082,-49.87649045422
Old Dominion,,,-20.49702004226,-32.97926572226,-5.81777072226,12.6417456221634,-79.79107652904
Oral Roberts,,,8.076401803101,6.974411721742,9.17839188446,1.55844931865853,16.152803606202
